序號,姓名,職位/角色,主要貢獻,出現次數,完整描述
11,洪國鈞,公職人員利益衝突迴避法相關法規專家 / 原則定義建議者,提出應參考《公職人員利益衝突迴避法》第三條對「公費助理」的法律定義，認為該定義更明確且具法律依據，建議在討論中採用此定義，以避免因缺乏法律基礎而產生爭議。,5,洪國鈞 - 公職人員利益衝突迴避法相關法規專家 / 原則定義建議者 - 提出應參考《公職人員利益衝突迴避法》第三條對「公費助理」的法律定義，認為該定義更明確且具法律依據，建議在討論中採用此定義，以避免因缺乏法律基礎而產生爭議。 (AI識別出現 5 次)
12,耿璐,国会频道优化议题的讨论参与者 / 建议推动者,提出國會頻道優化問題缺乏明確歸屬組別，強調國會頻道應有明確的行動表格，包含加設不同語言字幕與標註議事階段等具體項目，並指出目前5組中無一組專責此議題，呼籲將相關事項納入正式分工與規劃。,5,耿璐 - 国会频道优化议题的讨论参与者 / 建议推动者 - 提出國會頻道優化問題缺乏明確歸屬組別，強調國會頻道應有明確的行動表格，包含加設不同語言字幕與標註議事階段等具體項目，並指出目前5組中無一組專責此議題，呼籲將相關事項納入正式分工與規劃。 (AI識別出現 5 次)
13,簡信昌,討論參與者 / 小組成員,提出應聚焦於「便於取得利用的國會資訊」，強調應討論哪些資料應被開放，反對過度設計如建立國會助理個人資料網站，主張內容應以公開透明與實際利用為導向。,4,簡信昌 - 討論參與者 / 小組成員 - 提出應聚焦於「便於取得利用的國會資訊」，強調應討論哪些資料應被開放，反對過度設計如建立國會助理個人資料網站，主張內容應以公開透明與實際利用為導向。 (AI識別出現 4 次)
14,蕭新晟,IRM相關報告組長 / NDIA溝通負責人,提出NDI在OGP開放國會track中關於新型態IRM的兩種可能性：一是由民間組織（CSO）帶領的「alternative reporting」模式，類似現行影子報告方式，並以中亞吉爾吉斯為實驗案例；二是「peer review」模式，即國會間互相審查，如我方國會與越南或其他國家國會合作，由第三方進行IRM，並說明此模式為NDI所提倡的第三方IRM。,4,蕭新晟 - IRM相關報告組長 / NDIA溝通負責人 - 提出NDI在OGP開放國會track中關於新型態IRM的兩種可能性：一是由民間組織（CSO）帶領的「alternative reporting」模式，類似現行影子報告方式，並以中亞吉爾吉斯為實驗案例；二是「peer review」模式，即國會間互相審查，如我方國會與越南或其他國家國會合作，由第三方進行IRM，並說明此模式為NDI所提倡的第三方IRM。 (AI識別出現 4 次)
15,王向榮,小組負責人 / 數位化國會組代表,介紹本組主題為「數位化的國會」，並說明團隊做法為全面檢視所有項目，主動納入相關議題，針對模糊議題進行釐清與討論，強調跨組整合與討論的廣度與深度。,4,王向榮 - 小組負責人 / 數位化國會組代表 - 介紹本組主題為「數位化的國會」，並說明團隊做法為全面檢視所有項目，主動納入相關議題，針對模糊議題進行釐清與討論，強調跨組整合與討論的廣度與深度。 (AI識別出現 4 次)
16,趙恭岳,主席指定發言人 / 法律與政策評估專家,主要貢獻或發言重點：提出對「開放的主動性」與「親屬關係」在執行上的疑慮，認為利害關係人界定困難，且主動通知機制難以操作；強調資訊公開雖重要，但應先釐清法條基礎與實際執行可行性，建議應聚焦於三等親內聘任須揭露等具體情境。,3,趙恭岳 - 主席指定發言人 / 法律與政策評估專家 - 主要貢獻或發言重點：提出對「開放的主動性」與「親屬關係」在執行上的疑慮，認為利害關係人界定困難，且主動通知機制難以操作；強調資訊公開雖重要，但應先釐清法條基礎與實際執行可行性，建議應聚焦於三等親內聘任須揭露等具體情境。 (AI識別出現 3 次)
17,曾柏瑜,委員會成員 / IRM機制專家,說明IRM並無「官方」或「民間」之分，其本質為獨立報告機制；進一步指出官方版本（如國發會版本）由行政單位（如國發會）主導製作，並強調該版本用於記錄會議過程與公開資訊，與民間報告分屬不同主體與產出流程。,3,曾柏瑜 - 委員會成員 / IRM機制專家 - 說明IRM並無「官方」或「民間」之分，其本質為獨立報告機制；進一步指出官方版本（如國發會版本）由行政單位（如國發會）主導製作，並強調該版本用於記錄會議過程與公開資訊，與民間報告分屬不同主體與產出流程。 (AI識別出現 3 次)
18,立法院,議事運作單位 / 政策制定者,被建議應建立完整整合性的議事行事曆，並提前一週公告公聽會議程，以提升民眾參與與資訊透明度，同時應統一公聽會的資料開放標準,3,立法院 - 議事運作單位 / 政策制定者 - 被建議應建立完整整合性的議事行事曆，並提前一週公告公聽會議程，以提升民眾參與與資訊透明度，同時應統一公聽會的資料開放標準 (AI識別出現 3 次)
19,郭專員佳勳,專員 / 報告執行者,詳細說明開放國會行動方案的歷程與前言內容，包括從記者會到籌備會議的時序、重要活動（如讀書會、焦點討論會、網路直播）的記錄，並釐清開放國會與開放政府之間的關連與緣起。,3,郭專員佳勳 - 專員 / 報告執行者 - 詳細說明開放國會行動方案的歷程與前言內容，包括從記者會到籌備會議的時序、重要活動（如讀書會、焦點討論會、網路直播）的記錄，並釐清開放國會與開放政府之間的關連與緣起。 (AI識別出現 3 次)
20,阿Fi,會議參與者 / 建議提出者,提出希望在28日大會當天進行grouping，並認為所有action plan項目應在兩週內完成，之後再重新整理組別，強調現場確認與調整的重要性。,2,阿Fi - 會議參與者 / 建議提出者 - 提出希望在28日大會當天進行grouping，並認為所有action plan項目應在兩週內完成，之後再重新整理組別，強調現場確認與調整的重要性。 (AI識別出現 2 次)
21,IVOD系統使用者,網路參與者 / 公眾意見代表,提出希望強化立法院IVOD系統，加入逐字稿與意見留言功能，使民眾能如YouTube般即時互動與回應。,2,IVOD系統使用者 - 網路參與者 / 公眾意見代表 - 提出希望強化立法院IVOD系統，加入逐字稿與意見留言功能，使民眾能如YouTube般即時互動與回應。 (AI識別出現 2 次)
22,行政院（代表性角色）,政策研擬單位角色,被提及在研議法案，建議應在法案審議前期公告其研議內容，以讓民眾及公民團體提早知悉，並與立法院形成連結，提升透明度與參與度。,2,行政院（代表性角色） - 政策研擬單位角色 - 被提及在研議法案，建議應在法案審議前期公告其研議內容，以讓民眾及公民團體提早知悉，並與立法院形成連結，提升透明度與參與度。 (AI識別出現 2 次)
23,梁專員曉菁,專員 / 報告人,"負責報告委員會會議開支與籌措方式，詳細說明翻譯成本、IRM撰寫費用及會議費用三部分預算，提出每份報告翻譯按「每字3元、每頁1,000字」計算，並預估每份行動方案翻譯費用約12萬元，同時說明IRM報告的預計完成時間為明年12月。",1,"梁專員曉菁 - 專員 / 報告人 - 負責報告委員會會議開支與籌措方式，詳細說明翻譯成本、IRM撰寫費用及會議費用三部分預算，提出每份報告翻譯按「每字3元、每頁1,000字」計算，並預估每份行動方案翻譯費用約12萬元，同時說明IRM報告的預計完成時間為明年12月。"
24,臺北市政府社會局,委託單位,主要貢獻或發言重點：被提及為手語翻譯服務的提供單位，負責委託手譯師進行會議翻譯，並作為費用計算的依據。,1,臺北市政府社會局 - 委託單位 - 主要貢獻或發言重點：被提及為手語翻譯服務的提供單位，負責委託手譯師進行會議翻譯，並作為費用計算的依據。
25,立院預算中心,資料提供單位,建議其預算相關資料應進一步公開，特別是在不同立法程序中各項法案的預算內容，以提升預算透明度與公眾監督能力。,1,立院預算中心 - 資料提供單位 - 建議其預算相關資料應進一步公開，特別是在不同立法程序中各項法案的預算內容，以提升預算透明度與公眾監督能力。
26,我（說話者）,未明確職位,主張拒絕接受免費助理或顧問，並強調個人選擇拒絕的態度，同時提出應建立平台讓委員自願揭露助理與顧問資訊，展現主動監督與自我要求的立場,1,我（說話者） - 未明確職位 - 主張拒絕接受免費助理或顧問，並強調個人選擇拒絕的態度，同時提出應建立平台讓委員自願揭露助理與顧問資訊，展現主動監督與自我要求的立場
27,高宇成,會議參與者 / 技術或行政支援人員,肯定吳銘軒的建議，表示可執行將檔案上傳至 Slack,1,高宇成 - 會議參與者 / 技術或行政支援人員 - 肯定吳銘軒的建議，表示可執行將檔案上傳至 Slack
28,馬上修憲委員會相關委員,修憲議題參與者 / 建議者,提出關於政治獻金與財產申報未來可能由立法院接管的議題，並呼籲立法院應做好準備，強調應思考未來相關資料的串聯與透明化，特別是在監察院職權可能被調整的情況下，立法院需提前規劃相關機制。,1,馬上修憲委員會相關委員 - 修憲議題參與者 / 建議者 - 提出關於政治獻金與財產申報未來可能由立法院接管的議題，並呼籲立法院應做好準備，強調應思考未來相關資料的串聯與透明化，特別是在監察院職權可能被調整的情況下，立法院需提前規劃相關機制。
29,主席,會議主持人,提出「加強特模糊搜尋」的建議，並指示Ronny與第二組協調關鍵字部分,1,主席 - 會議主持人 - 提出「加強特模糊搜尋」的建議，並指示Ronny與第二組協調關鍵字部分
30,教育部,教育主管機關,提出每年設有專題學程，並建議在開放國會計畫下與教育部合作，推動國會專題學程融入通識課、實習或參訪，以實現公民教育與科普內容的系統化結合,1,教育部 - 教育主管機關 - 提出每年設有專題學程，並建議在開放國會計畫下與教育部合作，推動國會專題學程融入通識課、實習或參訪，以實現公民教育與科普內容的系統化結合
31,YouTube國會達人頻道,預設內容提供者（非個人姓名）,建議優化後的線上頻道可納入高中、大學及國中公民課教學，作為學生理解議會運作的替代或補充方式,1,YouTube國會達人頻道 - 預設內容提供者（非個人姓名） - 建議優化後的線上頻道可納入高中、大學及國中公民課教學，作為學生理解議會運作的替代或補充方式
32,周老師,建議提供者,提出標準化文書範本可能較費工，引發對表格與文書呈現方式的討論，促使會議探討是否有更高效的替代方案,1,周老師 - 建議提供者 - 提出標準化文書範本可能較費工，引發對表格與文書呈現方式的討論，促使會議探討是否有更高效的替代方案
