序號,姓名,職位/角色,主要貢獻,出現次數,完整描述
11,吳處長慧玲,秘書處處長/行政單位主管,說明院內單位參與的重要性，建議下一次會議邀請各單位主管列席，提出具體建議，特別強調未來執行需考量法規程序、經費編列、法規修正等實際業務限制，並強調應與民意反映結合，確保政策方向與實際可操作性相符。,4,吳處長慧玲 - 秘書處處長/行政單位主管 - 說明院內單位參與的重要性，建議下一次會議邀請各單位主管列席，提出具體建議，特別強調未來執行需考量法規程序、經費編列、法規修正等實際業務限制，並強調應與民意反映結合，確保政策方向與實際可操作性相符。 (AI識別出現 4 次)
12,周韻采,工作人員 / 建議者,建議暫不直接使用現有的表格進行風險評估，強調應先以Excel表整理各組委員討論與民眾反映的具體行為內容，再進行錯字、重複檢視與分工調整，認為此過程更符合實際操作需求，並指出該做法已接近IRM報告的層次，應先建立基礎資料再進行後續評估與與立法院溝通。,4,周韻采 - 工作人員 / 建議者 - 建議暫不直接使用現有的表格進行風險評估，強調應先以Excel表整理各組委員討論與民眾反映的具體行為內容，再進行錯字、重複檢視與分工調整，認為此過程更符合實際操作需求，並指出該做法已接近IRM報告的層次，應先建立基礎資料再進行後續評估與與立法院溝通。 (AI識別出現 4 次)
13,我（說話者）,立委（立法委員）,主要貢獻為強調對「免費助理」現象的觀察與反思，指出部分委員會因各種原因接受或拒絕掛名主任、顧問等名義的服務，並主張應建立平台讓委員自願揭露公費、自費助理及顧問的實際情況，以提升透明度與公信力，同時表達個人拒絕掛名的立場,4,我（說話者） - 立委（立法委員） - 主要貢獻為強調對「免費助理」現象的觀察與反思，指出部分委員會因各種原因接受或拒絕掛名主任、顧問等名義的服務，並主張應建立平台讓委員自願揭露公費、自費助理及顧問的實際情況，以提升透明度與公信力，同時表達個人拒絕掛名的立場 (AI識別出現 4 次)
14,侯宜秀,會議程序與執行規劃建議者,提出應將原則性內容與實際執行方案分開處理，建議在Google Document中蒐集整體需求與資訊，並由于顥負責製作更細緻的執行表格，同時強調未納入表格的內容仍需另作記錄，以確保資訊完整性與可操作性。,4,侯宜秀 - 會議程序與執行規劃建議者 - 提出應將原則性內容與實際執行方案分開處理，建議在Google Document中蒐集整體需求與資訊，並由于顥負責製作更細緻的執行表格，同時強調未納入表格的內容仍需另作記錄，以確保資訊完整性與可操作性。 (AI識別出現 4 次)
15,會議參與者（未具體命名）,會議討論者 / 建議提出者,提出四項科普說明的授權釋出問題，並討論現有頻道優化與推廣策略；針對民眾意見提出建議，例如在公共電視或新聞台的跑馬燈中顯示議會法案進度，強調應結合現有國會資源（如APP）進行推廣，並指出推廣應在系統優化或資料統整完成後才進行，屬於主動宣傳與資訊擴散的策略建議。,4,會議參與者（未具體命名） - 會議討論者 / 建議提出者 - 提出四項科普說明的授權釋出問題，並討論現有頻道優化與推廣策略；針對民眾意見提出建議，例如在公共電視或新聞台的跑馬燈中顯示議會法案進度，強調應結合現有國會資源（如APP）進行推廣，並指出推廣應在系統優化或資料統整完成後才進行，屬於主動宣傳與資訊擴散的策略建議。 (AI識別出現 4 次)
16,周韻采,立法委員（或相關政策提議者）,提出道德層面的揭露觀點，強調若未來有平台，立委可願意揭露助理資訊，並指出經濟部商業司網站可查證助理的董監事資訊，強調此非敏感個資，且可透過公開資料確認身份。,3,周韻采 - 立法委員（或相關政策提議者） - 提出道德層面的揭露觀點，強調若未來有平台，立委可願意揭露助理資訊，並指出經濟部商業司網站可查證助理的董監事資訊，強調此非敏感個資，且可透過公開資料確認身份。 (AI識別出現 3 次)
17,周韻采,提案與質疑者,主要貢獻或發言重點：提出對現行資料整理格式效率的擔憂，認為將每個項目細分後仍可能需要刪除，導致紙張工作耗時且不具效率；強調若團隊堅持此做法，則會接受，但需承認耗工問題。,3,周韻采 - 提案與質疑者 - 主要貢獻或發言重點：提出對現行資料整理格式效率的擔憂，認為將每個項目細分後仍可能需要刪除，導致紙張工作耗時且不具效率；強調若團隊堅持此做法，則會接受，但需承認耗工問題。 (AI識別出現 3 次)
18,王文岳,資料開放與著作權政策建議者,主要貢獻或發言重點：提出應先盤點不受著作權保護的文件，並強調在釋出資料時必須於metadata中明確標示授權方式（如CC或政府開放資料授權一版），指出現行立院網站對授權標示不清晰，部分資料不得為著作標的，呼籲在資料開放時加強授權標示與透明度。,3,王文岳 - 資料開放與著作權政策建議者 - 主要貢獻或發言重點：提出應先盤點不受著作權保護的文件，並強調在釋出資料時必須於metadata中明確標示授權方式（如CC或政府開放資料授權一版），指出現行立院網站對授權標示不清晰，部分資料不得為著作標的，呼籲在資料開放時加強授權標示與透明度。 (AI識別出現 3 次)
19,郭專員佳勳,專員 / 報告執行者,對「開放國會行動方案」的歷程與前言進行詳細說明，包括時序進度、重要活動（如記者會、讀書會、焦點討論會）的記錄，以及釐清開放國會的緣起、工作機制與與開放政府的關聯性。,3,郭專員佳勳 - 專員 / 報告執行者 - 對「開放國會行動方案」的歷程與前言進行詳細說明，包括時序進度、重要活動（如記者會、讀書會、焦點討論會）的記錄，以及釐清開放國會的緣起、工作機制與與開放政府的關聯性。 (AI識別出現 3 次)
20,曾柏瑜,工作人員 / 補充說明者,說明IRM的本質是評估整體程序的品質，並指出周韻采所提及的長報告內容，實際上正是從MSF（Members' Stakeholder Feedback）出發，屬於IRM評估的前期準備與內容基礎。,2,曾柏瑜 - 工作人員 / 補充說明者 - 說明IRM的本質是評估整體程序的品質，並指出周韻采所提及的長報告內容，實際上正是從MSF（Members' Stakeholder Feedback）出發，屬於IRM評估的前期準備與內容基礎。 (AI識別出現 2 次)
21,簡信昌,參與討論者,對「開放資訊第三點」提出疑問，釐清「陽光法案要求揭露」與「建立即時揭露公費助理」之間的關係，認為兩者不完全相同，並質疑其內容是否與立法院資訊透明相關，顯示對資訊政策細節的關注與釐清需求。,2,簡信昌 - 參與討論者 - 對「開放資訊第三點」提出疑問，釐清「陽光法案要求揭露」與「建立即時揭露公費助理」之間的關係，認為兩者不完全相同，並質疑其內容是否與立法院資訊透明相關，顯示對資訊政策細節的關注與釐清需求。 (AI識別出現 2 次)
22,曾柏瑜,工作小組成員 / 建議提出者,提出應先明確制定行動項目（action item）的格式，建議先將國會頻道分入特定小組並完成action item的整理，再根據內容重新分組，以提升討論的聚焦性與實務性。,2,曾柏瑜 - 工作小組成員 / 建議提出者 - 提出應先明確制定行動項目（action item）的格式，建議先將國會頻道分入特定小組並完成action item的整理，再根據內容重新分組，以提升討論的聚焦性與實務性。 (AI識別出現 2 次)
23,主席,會議主持人 / 原則性規範建議者,主導討論，提出應原則性地規範關鍵字避免歧視性內容（如「同婚法案」、「反同」等可能涉及歧視的詞語），並強調在實際操作中應避免將歧視性文字納入標籤，呼籲建立原則性規範以確保內容中立與安全。,2,主席 - 會議主持人 / 原則性規範建議者 - 主導討論，提出應原則性地規範關鍵字避免歧視性內容（如「同婚法案」、「反同」等可能涉及歧視的詞語），並強調在實際操作中應避免將歧視性文字納入標籤，呼籲建立原則性規範以確保內容中立與安全。 (AI識別出現 2 次)
24,未明確提及具體人物姓名,會議主持人/議程推動者,提出國會宣傳推廣方案的整體架構，包括統整國會宣傳、多元溝通管道建立與公民教育系統的討論，並引導團隊思考不同年齡層、族群、性別及公務體系人員的溝通需求。,2,未明確提及具體人物姓名 - 會議主持人/議程推動者 - 提出國會宣傳推廣方案的整體架構，包括統整國會宣傳、多元溝通管道建立與公民教育系統的討論，並引導團隊思考不同年齡層、族群、性別及公務體系人員的溝通需求。 (AI識別出現 2 次)
25,曾柏瑜,小組成員 / 提議者,提出將 action item 列出後，由各組針對每個項目重新分組與協調的建議，並指出現行組間協調難以進行，認為應避免組與組之間直接討論 grouping 與 merge 問題。,2,曾柏瑜 - 小組成員 / 提議者 - 提出將 action item 列出後，由各組針對每個項目重新分組與協調的建議，並指出現行組間協調難以進行，認為應避免組與組之間直接討論 grouping 與 merge 問題。 (AI識別出現 2 次)
26,賴香伶,委員辦公室代表,代表賴香伶委員出席會議，負責說明「便於人民參與的國會」相關議題，並由其辦公室代表參與討論，顯示其在推動人民參與國會事項上的角色與關切。,2,賴香伶 - 委員辦公室代表 - 代表賴香伶委員出席會議，負責說明「便於人民參與的國會」相關議題，並由其辦公室代表參與討論，顯示其在推動人民參與國會事項上的角色與關切。 (AI識別出現 2 次)
27,周韻采,開放政府行動方案小組成員 / 資料處理與資訊整合專責,提出立法院議事紀錄缺乏標記（tag）的問題，指出現有資料雖已存在但難以有效擷取委員講法，強調未來應聚焦於提升現有資料的可讀性與資訊檢索效率，並建議未來需與立法院資訊處密切合作，優化開放資料的呈現形式。,2,周韻采 - 開放政府行動方案小組成員 / 資料處理與資訊整合專責 - 提出立法院議事紀錄缺乏標記（tag）的問題，指出現有資料雖已存在但難以有效擷取委員講法，強調未來應聚焦於提升現有資料的可讀性與資訊檢索效率，並建議未來需與立法院資訊處密切合作，優化開放資料的呈現形式。 (AI識別出現 2 次)
28,立法院預算中心,預算評估單位 / 建議提出者,提出應公開相關評估報告（如研究時程），並強調資料透明化的重要性，以回應民眾對資訊開放的疑問,2,立法院預算中心 - 預算評估單位 / 建議提出者 - 提出應公開相關評估報告（如研究時程），並強調資料透明化的重要性，以回應民眾對資訊開放的疑問 (AI識別出現 2 次)
29,于顥,會議主持人/時程規劃者,提出調整會議架構與記錄方式的建議，強調需建立邏輯清晰的記錄體系以利後續報告生成，並建議將原「每次大會5組討論」調整為「每次會議討論一個項目」，以更有效管理時程與議程。,2,于顥 - 會議主持人/時程規劃者 - 提出調整會議架構與記錄方式的建議，強調需建立邏輯清晰的記錄體系以利後續報告生成，並建議將原「每次大會5組討論」調整為「每次會議討論一個項目」，以更有效管理時程與議程。 (AI識別出現 2 次)
30,趙恭岳,主席指定發言人 / 會議參與者,提出對「開放的主動性」與「親屬關係」在執行上的疑慮，認為利害關係人難以明確界定，建議應釐清如何分層通知及與現行法規的關聯，強調資訊公開的可及性較為重要，並建議在聘任時僅針對三等親內關係需揭露。,1,趙恭岳 - 主席指定發言人 / 會議參與者 - 提出對「開放的主動性」與「親屬關係」在執行上的疑慮，認為利害關係人難以明確界定，建議應釐清如何分層通知及與現行法規的關聯，強調資訊公開的可及性較為重要，並建議在聘任時僅針對三等親內關係需揭露。
31,主席,會議主持人 / 政策決策引導者,提出時間上的誤判（明年的議題），並引導討論關於車馬費支應的性質問題，強調官方支出可能導致性質變質，呼籲民間代表參與討論。,1,主席 - 會議主持人 / 政策決策引導者 - 提出時間上的誤判（明年的議題），並引導討論關於車馬費支應的性質問題，強調官方支出可能導致性質變質，呼籲民間代表參與討論。
32,臺北市政府社會局,政府單位（非個人）,主要貢獻或發言重點：被提及為手語翻譯服務的委託單位，提供翻譯師資源，並作為手語翻譯費用計算的實際合作來源。,1,臺北市政府社會局 - 政府單位（非個人） - 主要貢獻或發言重點：被提及為手語翻譯服務的委託單位，提供翻譯師資源，並作為手語翻譯費用計算的實際合作來源。
33,梁專員曉菁,專員 / 報告人,負責報告委員會會議開支與籌措方式，詳細說明翻譯成本、IRM撰寫費用及會議費用的預估結構，並提供具體計算方式與時間節點（如行動方案初版於12月初、IRM預計明年12月完成）。,1,梁專員曉菁 - 專員 / 報告人 - 負責報告委員會會議開支與籌措方式，詳細說明翻譯成本、IRM撰寫費用及會議費用的預估結構，並提供具體計算方式與時間節點（如行動方案初版於12月初、IRM預計明年12月完成）。
34,曾柏瑜,監督議員團體成員 / 組織代表,提出關於立委助理資訊公開的議題，指出目前缺乏法源依據，並強調監察院有陽光法案的法源支持，可公開委員開設公司、戶頭資金及土地等資訊，呼籲未來應針對助理資訊公開的範圍進行討論。,1,曾柏瑜 - 監督議員團體成員 / 組織代表 - 提出關於立委助理資訊公開的議題，指出目前缺乏法源依據，並強調監察院有陽光法案的法源支持，可公開委員開設公司、戶頭資金及土地等資訊，呼籲未來應針對助理資訊公開的範圍進行討論。
35,公民團體,社會參與組織,被提及為法案倡議的主體，反映在法案審議過後才知悉，導致倡議時機已錯過，呼籲應在審議前期即獲知法案動態。,1,公民團體 - 社會參與組織 - 被提及為法案倡議的主體，反映在法案審議過後才知悉，導致倡議時機已錯過，呼籲應在審議前期即獲知法案動態。
36,立委,未明確姓名，職位/角色：立法委員（代表民眾意見提出者）,主要貢獻或發言重點：提出立委個人資料與團隊資料整合的建議，強調應將立委的問政表現、投票紀錄等資訊整合於一個平台，以便民眾掌握其長期議題關注與立場一致性；並指出現有投票紀錄資訊化不足，呼籲建立完整問政資料庫。,1,立委 - 未明確姓名，職位/角色：立法委員（代表民眾意見提出者） - 主要貢獻或發言重點：提出立委個人資料與團隊資料整合的建議，強調應將立委的問政表現、投票紀錄等資訊整合於一個平台，以便民眾掌握其長期議題關注與立場一致性；並指出現有投票紀錄資訊化不足，呼籲建立完整問政資料庫。
37,監督國會的團體,非個人角色，但作為外部推動力量，鼓勵委員揭露非法律強制之資訊，以作為評估委員自我要求與透明度的依據,,1,監督國會的團體 - 非個人角色，但作為外部推動力量，鼓勵委員揭露非法律強制之資訊，以作為評估委員自我要求與透明度的依據
38,呂儀恬,會議參與者,提出具體操作需求，請求「切個畫面」，顯示其在會議中擔任技術或視覺呈現相關的協調角色，可能為幕後製作或紀錄人員，協助會議流程的視覺化呈現。,1,呂儀恬 - 會議參與者 - 提出具體操作需求，請求「切個畫面」，顯示其在會議中擔任技術或視覺呈現相關的協調角色，可能為幕後製作或紀錄人員，協助會議流程的視覺化呈現。
39,馬上修憲委員會相關委員,修憲議題參與者 / 建議者,提出關於政治獻金與財產申報未來可能由立法院接管的議題，建議立法院應做好準備，並思考與監察院現有職權的連結與資料串連，以提升透明度與民眾可及性。,1,馬上修憲委員會相關委員 - 修憲議題參與者 / 建議者 - 提出關於政治獻金與財產申報未來可能由立法院接管的議題，建議立法院應做好準備，並思考與監察院現有職權的連結與資料串連，以提升透明度與民眾可及性。
40,立法院法制局,資料提供與研析單位,建議其提供的委員修法相關研析資料應公開，以提升立法透明度。,1,立法院法制局 - 資料提供與研析單位 - 建議其提供的委員修法相關研析資料應公開，以提升立法透明度。
41,立法院,議事運作單位 / 政策建議主體,被建議應建立完整整合性的議事行事曆，並提前一週公告公聽會議程，以提升民眾參與與資訊透明度；同時建議公聽會應開放民眾或NGO報名參與，並由各方共同討論,1,立法院 - 議事運作單位 / 政策建議主體 - 被建議應建立完整整合性的議事行事曆，並提前一週公告公聽會議程，以提升民眾參與與資訊透明度；同時建議公聽會應開放民眾或NGO報名參與，並由各方共同討論
42,民眾,公民團體或一般民眾代表（未具體命名）,提出中央法案與地方政府執行之間落差的問題，呼籲應加強中央與地方立法意旨的說明，並建議建立法律與地方政府施行細則之間的連結，以確保政策執行的一致性與透明度。,1,民眾 - 公民團體或一般民眾代表（未具體命名） - 提出中央法案與地方政府執行之間落差的問題，呼籲應加強中央與地方立法意旨的說明，並建議建立法律與地方政府施行細則之間的連結，以確保政策執行的一致性與透明度。
43,遊說登記相關意見提出者,公眾或民間團體代表,建議立法院委員應對遊說團體正式回覆，無論是拒絕或同意拜訪，以提升透明度與責任感，此建議被視為具可行性,1,遊說登記相關意見提出者 - 公眾或民間團體代表 - 建議立法院委員應對遊說團體正式回覆，無論是拒絕或同意拜訪，以提升透明度與責任感，此建議被視為具可行性
44,洪國鈞,國會圖書館相關技術或業務負責人,提出國會圖書館的法案搜尋系統已具備模糊搜尋功能，並以「勞動基準法」為例說明搜尋勞基法即可找到相關法案，強調系統在法案查詢上的實用性與易用性，反映對法案資訊可及性的支持。,1,洪國鈞 - 國會圖書館相關技術或業務負責人 - 提出國會圖書館的法案搜尋系統已具備模糊搜尋功能，並以「勞動基準法」為例說明搜尋勞基法即可找到相關法案，強調系統在法案查詢上的實用性與易用性，反映對法案資訊可及性的支持。
45,電子參與民眾,網路參與者 / 公眾意見提出者,提出希望建立立法倡議平臺，類似行政院公共政策網路參與平臺，讓民眾能提出提案並發表意見；同時建議強化IVOD系統，增加逐字稿與意見留言功能，使民眾能如YouTube般即時參與議事過程。,1,電子參與民眾 - 網路參與者 / 公眾意見提出者 - 提出希望建立立法倡議平臺，類似行政院公共政策網路參與平臺，讓民眾能提出提案並發表意見；同時建議強化IVOD系統，增加逐字稿與意見留言功能，使民眾能如YouTube般即時參與議事過程。
46,林哲瑋,會議參與者 / 第四組代表,問詢第四組是否將與資訊處及議事處討論相關事項，確認計畫安排,1,林哲瑋 - 會議參與者 / 第四組代表 - 問詢第四組是否將與資訊處及議事處討論相關事項，確認計畫安排
47,開放政府,公共政策倡議團體 / 政策推動者,建議立法院設置「衝突教練」服務，協助立委團隊提升處理衝突的能力，此建議被立法院認為基於行政與立法分立原則，不予採納。,1,開放政府 - 公共政策倡議團體 / 政策推動者 - 建議立法院設置「衝突教練」服務，協助立委團隊提升處理衝突的能力，此建議被立法院認為基於行政與立法分立原則，不予採納。
48,未明確提及具體人物姓名,委員,提出關於民眾意見的觀察，特別強調成人教育、學生教育、青年教育的相關性，並建議針對不同需求群體（如公務體系人員）設計專屬的科普說明方案，強調立法程序與實際工作之間的關聯性。,1,未明確提及具體人物姓名 - 委員 - 提出關於民眾意見的觀察，特別強調成人教育、學生教育、青年教育的相關性，並建議針對不同需求群體（如公務體系人員）設計專屬的科普說明方案，強調立法程序與實際工作之間的關聯性。
49,教育部,教育主管機關,提出每年設有專題學程，並建議在開放國會計畫下與教育部合作推動國會專題學程，納入通識課、實習或參訪等教學情境，強調系統化整合。,1,教育部 - 教育主管機關 - 提出每年設有專題學程，並建議在開放國會計畫下與教育部合作推動國會專題學程，納入通識課、實習或參訪等教學情境，強調系統化整合。
50,公民組織,非營利法人代表（未具體命名）,提出在登記成為法人時，應有主管機關提供的必讀清單或教學內容，以協助公民團體了解如何合法、有效參與國會，並融入公民教育體系。,1,公民組織 - 非營利法人代表（未具體命名） - 提出在登記成為法人時，應有主管機關提供的必讀清單或教學內容，以協助公民團體了解如何合法、有效參與國會，並融入公民教育體系。
51,國會,政治機構（未具體命名）,提出開放旁聽與旁觀機制，並建議將此機制系統化，擴展至國中、高中及大學，並考慮線上參與方式，如優化YouTube國會達人頻道，作為公民課教學資源。,1,國會 - 政治機構（未具體命名） - 提出開放旁聽與旁觀機制，並建議將此機制系統化，擴展至國中、高中及大學，並考慮線上參與方式，如優化YouTube國會達人頻道，作為公民課教學資源。
52,于顥,小組成員 / 問題提問者,提出質疑「佩蔚是不是不行？」，顯示對某位成員參與會議的可行性表示疑問。,1,于顥 - 小組成員 / 問題提問者 - 提出質疑「佩蔚是不是不行？」，顯示對某位成員參與會議的可行性表示疑問。
53,侯宜秀,會議參與者 / 語言主導者,提出對現有架構的疑問，強調分組應為關鍵字概念而非實際切分，並主張以簡化方式處理組別問題，推動會議效率與明確性。,1,侯宜秀 - 會議參與者 / 語言主導者 - 提出對現有架構的疑問，強調分組應為關鍵字概念而非實際切分，並主張以簡化方式處理組別問題，推動會議效率與明確性。
